Total cashbook entries: 388

[0] ID: 01aeab4b-d903-465a-923f-d76e54899c62 | Date: 2026-03-18 | EntryType: ADJUSTMENT | D: 0 | C: 0 | BalAfter: 0.7 | ExtRef: null | ReqId: null | Status: ACCOUNTED | Desc: OPENING BALANCE (Reconciliation as of 2026-03-18)
[11] ID: 7132fa6a-d2d3-42f4-8ad4-117aeb92f019 | Date: 2026-03-20 | EntryType: DISBURSEMENT | D: 0 | C: 1.01 | BalAfter: 3399.69 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2607906059
[12] ID: 43404be6-118b-474b-abc1-e53fd8688c49 | Date: 2026-03-20 | EntryType: DISBURSEMENT | D: 0 | C: 1435 | BalAfter: 1964.69 | ExtRef: null | ReqId: cdbb23ac-6fe1-4b00-b598-27fee81858d3 | Status: DISBURSED | Desc: Disbursement for Requisition #cdbb23ac / 2607906064
[13] ID: bb82d7c3-6360-4242-9d81-e54a48112fba | Date: 2026-03-20 | EntryType: INFLOW | D: 3000 | C: 0 | BalAfter: 4964.69 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Refund of Actual Lenco funds / 26079011626
[14] ID: 6792ce6f-4f11-490a-9928-16da26e1137c | Date: 2026-03-20 | EntryType: DISBURSEMENT | D: 0 | C: 30 | BalAfter: 4934.69 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 26079011627
[15] ID: c0a34133-3399-454e-b2cc-48c1b27ee3ca | Date: 2026-03-21 | EntryType: DISBURSEMENT | D: 0 | C: 2015 | BalAfter: 2919.69 | ExtRef: null | ReqId: 21210b09-bc67-44de-8545-385b4ffb3868 | Status: DISBURSED | Desc: Disbursement for Requisition #21210b09 / 2608001548
[16] ID: 064331fe-5ec7-4aa4-b359-e5fcf96d4d06 | Date: 2026-03-21 | EntryType: DISBURSEMENT | D: 0 | C: 2015 | BalAfter: 904.69 | ExtRef: null | ReqId: c32fa343-f51e-4885-88c6-b84f52b20212 | Status: DISBURSED | Desc: Disbursement for Requisition #c32fa343 / 2608001563
[17] ID: a6a31cb4-ba24-478a-8df8-cdf660b7e67b | Date: 2026-03-23 | EntryType: INFLOW | D: 10 | C: 0 | BalAfter: 914.69 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Stephen Kapambwe MP260323.1633.B06236
[18] ID: 3daa1e17-f3ec-49f2-84d6-2a7f0281238f | Date: 2026-03-23 | EntryType: DISBURSEMENT | D: 0 | C: 0.1 | BalAfter: 914.59 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 26082010071
[19] ID: 154b596b-a011-45e9-895a-2066da9c2111 | Date: 2026-03-24 | EntryType: INFLOW | D: 630 | C: 0 | BalAfter: 1544.59 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260324.1421.J37260
[20] ID: 40f54549-7842-44d3-afc8-d2e953d9ca4e | Date: 2026-03-24 | EntryType: DISBURSEMENT | D: 0 | C: 6.3 | BalAfter: 1538.29 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608306156
[21] ID: f23dbbd1-aa2e-4049-b58a-ddceb14d3f88 | Date: 2026-03-25 | EntryType: INFLOW | D: 4565 | C: 0 | BalAfter: 6103.29 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260325.0758.J37890
[22] ID: b17d4c45-1df6-41d2-9b22-2a68a5b26182 | Date: 2026-03-25 | EntryType: DISBURSEMENT | D: 0 | C: 45.65 | BalAfter: 6057.64 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608401902
[23] ID: 29122a6b-8197-4f7d-8d73-723d326bfa50 | Date: 2026-03-25 | EntryType: INFLOW | D: 5000 | C: 0 | BalAfter: 11057.64 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260325.0802.J38340
[24] ID: 1c492d07-030e-46b3-9bc5-1961ce645675 | Date: 2026-03-25 | EntryType: DISBURSEMENT | D: 0 | C: 50 | BalAfter: 11007.64 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608401928
[25] ID: af432d86-0a2a-42db-af94-fc5b4e855459 | Date: 2026-03-25 | EntryType: DISBURSEMENT | D: 0 | C: 712 | BalAfter: 10295.64 | ExtRef: null | ReqId: 9a5bb89c-b0da-418c-ae3f-df8362bf47fe | Status: DISBURSED | Desc: Disbursement for Requisition #9a5bb89c / 2608402411
[26] ID: 99341dad-b9fd-46b2-8e4d-2211df24a6d0 | Date: 2026-03-25 | EntryType: DISBURSEMENT | D: 0 | C: 128.5 | BalAfter: 10167.14 | ExtRef: null | ReqId: 7dd79704-5564-4a16-bd47-e29a566a643e | Status: DISBURSED | Desc: Disbursement for Requisition #7dd79704 / 2608402437
[27] ID: 6dda142e-9326-4dab-8d3b-9a9ca7cae27f | Date: 2026-03-25 | EntryType: DISBURSEMENT | D: 0 | C: 56.5 | BalAfter: 10110.64 | ExtRef: null | ReqId: fab8e582-0075-4b0d-acdb-8b077a3a523a | Status: DISBURSED | Desc: Disbursement for Requisition #fab8e582 / 2608404263
[28] ID: 395a46b3-16c6-4aa3-991a-0e2099f792da | Date: 2026-03-26 | EntryType: DISBURSEMENT | D: 0 | C: 8882 | BalAfter: 1228.64 | ExtRef: null | ReqId: aff7c61b-d617-4f15-af0d-1b2af001f947 | Status: DISBURSED | Desc: Disbursement for Requisition #aff7c61b / 2608503601
[29] ID: 0bd6bc50-a151-4dd6-99a9-e9eb3740aaf8 | Date: 2026-03-26 | EntryType: DISBURSEMENT | D: 0 | C: 205 | BalAfter: 1023.64 | ExtRef: null | ReqId: 38513996-df7c-4f6b-9ebf-a9db4c0ef0c7 | Status: DISBURSED | Desc: Disbursement for Requisition #38513996 / 2608504892
[30] ID: 14f73cd1-8c10-4fe5-b2c6-09273c5c8cdd | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 118.5 | BalAfter: 905.14 | ExtRef: null | ReqId: 107405e6-f349-44c4-a56d-d77f615d6860 | Status: DISBURSED | Desc: Disbursement for Requisition #107405e6 / 2608601712
[31] ID: c412e61c-95b8-4042-8eab-922aa7dcf7f5 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 316 | BalAfter: 589.14 | ExtRef: null | ReqId: 547ab7fe-be34-4210-a327-f34f2b750fdf | Status: DISBURSED | Desc: Disbursement for Requisition #547ab7fe / 2608614482
[32] ID: 59aa8e71-d126-40c0-a532-c13303ab0ba9 | Date: 2026-03-27 | EntryType: INFLOW | D: 930 | C: 0 | BalAfter: 1519.14 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260327.1342.D67963
[33] ID: a89b32ed-b7dc-4b63-9e7e-6dbb1ff03f8f | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 9.3 | BalAfter: 1509.84 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608607178
[34] ID: 9eeda83e-a435-42e6-98bf-c6acff838173 | Date: 2026-03-27 | EntryType: INFLOW | D: 630 | C: 0 | BalAfter: 2139.84 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260327.1344.D68314
[35] ID: f4916560-dfda-4480-8333-3801f52f7f72 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 6.3 | BalAfter: 2133.54 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608607202
[36] ID: 24da28bc-b392-4531-822b-126adc2e491d | Date: 2026-03-27 | EntryType: INFLOW | D: 9900 | C: 0 | BalAfter: 12033.54 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260327.1351.L68991
[37] ID: 545aa719-ba6b-4009-ab36-f3ed30f1a32e | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 99 | BalAfter: 11934.54 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608607282
[38] ID: 06e38dc6-76cd-49d0-930b-0b8de77b41b5 | Date: 2026-03-27 | EntryType: INFLOW | D: 9900 | C: 0 | BalAfter: 21834.54 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Moses Chibale MP260327.1437.A76172
[39] ID: 9696d1ba-d8aa-4da0-830f-1ce3d38d717c | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 99 | BalAfter: 21735.54 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608608022
[40] ID: 80e1b4ff-bbaf-4f92-94d1-8061d8ac9ab1 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 1715 | BalAfter: 20020.54 | ExtRef: null | ReqId: 3de403ef-05a7-4efc-a7ce-61b79468d461 | Status: DISBURSED | Desc: Disbursement for Requisition #3de403ef / 2608608458
[41] ID: 0dee13aa-71b6-40cc-86df-4c566899b2d3 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 2015 | BalAfter: 18005.54 | ExtRef: null | ReqId: 8777774d-4286-4e7f-9565-b69403a3f499 | Status: DISBURSED | Desc: Disbursement for Requisition #8777774d / 2608608487
[42] ID: d77e84de-f3a4-44b8-919f-03055c9ae3e7 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 3518 | BalAfter: 14487.54 | ExtRef: null | ReqId: af202de3-b5bf-49f6-b642-8b3bfa181fe8 | Status: DISBURSED | Desc: Disbursement for Requisition #af202de3 / 2608608517
[43] ID: b1316d4c-4946-43ba-90f6-06c101f938ac | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 2515 | BalAfter: 11972.54 | ExtRef: null | ReqId: f5290c60-5816-45a8-9787-f4a404ed8e67 | Status: DISBURSED | Desc: Disbursement for Requisition #f5290c60 / 2608608527
[44] ID: 938a4aef-215f-4845-bea1-e0540512bb84 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 3218 | BalAfter: 8754.54 | ExtRef: null | ReqId: 7cdcce2a-44d5-450c-bd55-bfdbae8289d6 | Status: DISBURSED | Desc: Disbursement for Requisition #7cdcce2a / 2608608539
[45] ID: 35092fb9-50ea-4409-89ef-dcdfcab037e5 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 3518 | BalAfter: 5236.54 | ExtRef: null | ReqId: d3a68129-21c6-42e0-8e9e-e5fed7490613 | Status: DISBURSED | Desc: Disbursement for Requisition #d3a68129 / 2608608545
[46] ID: be384491-5d2d-462c-90b2-38d117a003dd | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 511 | BalAfter: 4725.54 | ExtRef: null | ReqId: 8eab92f4-3ead-40e4-859c-351eb08c6838 | Status: DISBURSED | Desc: Disbursement for Requisition #8eab92f4 / 2608608563
[47] ID: fb430075-f464-4c3e-8e6f-bf268182bd13 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 2715 | BalAfter: 2010.54 | ExtRef: null | ReqId: abe95d76-b890-4884-be7d-6048796ed453 | Status: DISBURSED | Desc: Disbursement for Requisition #abe95d76 / 2608608567
[48] ID: 2a76b191-67b0-4279-815f-b5face83fdc3 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 1215 | BalAfter: 795.54 | ExtRef: null | ReqId: dbe8ca3b-0148-4a11-b9e2-0418e7e3815f | Status: DISBURSED | Desc: Disbursement for Requisition #dbe8ca3b / 2608608581
[49] ID: 245f8357-ccd0-4fd4-a112-5376094c530c | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 58.5 | BalAfter: 737.04 | ExtRef: null | ReqId: 61405890-5771-4d69-8ece-c092c1388506 | Status: DISBURSED | Desc: Disbursement for Requisition #61405890 / 2608608592
[50] ID: 262dba29-cde3-4257-a552-6c188771eff5 | Date: 2026-03-27 | EntryType: INFLOW | D: 1900 | C: 0 | BalAfter: 2637.04 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Moses Chibale MP260327.1519.D83008
[51] ID: af0373ba-e472-495a-b9fa-5ff8c09cdea1 | Date: 2026-03-27 | EntryType: DISBURSEMENT | D: 0 | C: 19 | BalAfter: 2618.04 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2608608671
[52] ID: 04cef9f6-1e56-46a7-bfa6-05496cd3db4e | Date: 2026-03-30 | EntryType: DISBURSEMENT | D: 0 | C: 361 | BalAfter: 2257.04 | ExtRef: null | ReqId: 53bc7e0d-762a-4e6b-a639-38fe87874ef3 | Status: DISBURSED | Desc: Disbursement for Requisition #53bc7e0d / 2608903751
[53] ID: f79bf82e-fae8-4557-a2a6-f7dc9426cbd5 | Date: 2026-03-31 | EntryType: INFLOW | D: 3030.3 | C: 0 | BalAfter: 5287.34 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260331.0941.A17259
[54] ID: 1f50f616-e6b3-445e-8dc3-a8da98b8b7a6 | Date: 2026-03-31 | EntryType: DISBURSEMENT | D: 0 | C: 30.3 | BalAfter: 5257.04 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2609003582
[55] ID: 659ecbaf-e790-464c-9e69-18980f394f96 | Date: 2026-04-01 | EntryType: DISBURSEMENT | D: 0 | C: 2665 | BalAfter: 2592.04 | ExtRef: null | ReqId: a2554811-1aff-408d-9b3a-2e4aa1263ee1 | Status: DISBURSED | Desc: Disbursement for Requisition #a2554811 / 2609102776
[56] ID: 2250e6d4-6c07-46fc-b8dd-3e8eaafc297e | Date: 2026-04-01 | EntryType: DISBURSEMENT | D: 0 | C: 2215 | BalAfter: 377.04 | ExtRef: null | ReqId: 38c38b81-46ef-40e3-9f83-37997cd62298 | Status: DISBURSED | Desc: Disbursement for Requisition #38c38b81 / 2609105044
[57] ID: 76e287cf-3a9c-4043-af97-cf719534a023 | Date: 2026-04-02 | EntryType: DISBURSEMENT | D: 0 | C: 285 | BalAfter: 92.04 | ExtRef: null | ReqId: 60653208-b497-4945-829a-baafa2a9ab59 | Status: DISBURSED | Desc: Disbursement for Requisition #60653208 / 2609203925
[58] ID: 10120bbe-0b65-4004-8971-24b8bb5cb74e | Date: 2026-04-07 | EntryType: INFLOW | D: 9898.99 | C: 0 | BalAfter: 9991.03 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260407.1231.K45896
[59] ID: 7856b250-abd9-41d3-8bdd-22737cae6016 | Date: 2026-04-07 | EntryType: DISBURSEMENT | D: 0 | C: 98.99 | BalAfter: 9892.04 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2609704463
[60] ID: bea26de7-8f15-4c16-b19e-52db73cd219c | Date: 2026-04-07 | EntryType: DISBURSEMENT | D: 0 | C: 9685 | BalAfter: 207.04 | ExtRef: null | ReqId: 9a657c3e-3146-40e1-a030-baad64a88bac | Status: DISBURSED | Desc: Disbursement for Requisition #9a657c3e / 2609704496
[61] ID: b354c9c4-26aa-4e6b-b1cb-fabb454de570 | Date: 2026-04-07 | EntryType: DISBURSEMENT | D: 0 | C: 108.5 | BalAfter: 98.54 | ExtRef: null | ReqId: 6bd118cc-2a24-468a-962e-85a24961ddfe | Status: DISBURSED | Desc: Disbursement for Requisition #6bd118cc / 2609705566
[62] ID: 940713a5-5f20-4e58-88bf-ee082edd9e22 | Date: 2026-04-08 | EntryType: INFLOW | D: 9898.99 | C: 0 | BalAfter: 9997.53 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260408.0921.D68752
[63] ID: a4b9b9a3-7b38-4372-a646-83ace994ac9a | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 98.99 | BalAfter: 9898.54 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2609803207
[64] ID: e74a2422-a6cb-4d9e-95e1-ea2f0be6acef | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 9285 | BalAfter: 613.54 | ExtRef: null | ReqId: 8786a055-d48f-4572-9553-7ab67db908ff | Status: DISBURSED | Desc: Disbursement for Requisition #8786a055 / 2609803654
[65] ID: 7e7ab0e4-a46d-4b5b-9745-a4ad3779aabc | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 210 | BalAfter: 403.54 | ExtRef: null | ReqId: 06f65ea5-1f54-4218-be18-3750c1a2fe60 | Status: DISBURSED | Desc: Disbursement for Requisition #06f65ea5 / 2609803842
[66] ID: 7d8c5853-56c0-454c-90e4-c899434fc5a9 | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 158.5 | BalAfter: 245.04 | ExtRef: null | ReqId: 69a928a0-8ffa-4bcc-b744-a310bf8afbcd | Status: DISBURSED | Desc: Disbursement for Requisition #69a928a0 / 2609804746
[67] ID: 56d0d0b6-2822-4e4d-9354-ed0dd45efe2a | Date: 2026-04-08 | EntryType: INFLOW | D: 1515.15 | C: 0 | BalAfter: 1760.19 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260408.1214.P14828
[68] ID: 3922dc81-774a-423d-ad90-b1e513f80736 | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 15.15 | BalAfter: 1745.04 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2609805609
[69] ID: 916a08f0-dc4d-466b-9845-0ee783e28f24 | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 158.5 | BalAfter: 1586.54 | ExtRef: null | ReqId: 29c2139d-8870-48f1-8f6d-7eaeba637b06 | Status: DISBURSED | Desc: Disbursement for Requisition #29c2139d / 2609805718
[70] ID: c6d92c75-71f8-44b6-b518-1e1def0c3170 | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 310 | BalAfter: 1276.54 | ExtRef: null | ReqId: de5c0d36-a6b7-4b70-b086-43c2e76204eb | Status: DISBURSED | Desc: Disbursement for Requisition #de5c0d36 / 2609805744
[71] ID: 77f24c08-9cc4-484a-8c80-b99f52c41fcc | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 411 | BalAfter: 865.54 | ExtRef: null | ReqId: 4fd01d9c-94d1-4d07-8301-398cf1ee7cf9 | Status: DISBURSED | Desc: Disbursement for Requisition #4fd01d9c / 2609807862
[72] ID: 8e63d7fa-d240-47d6-b1b8-3813b9dc42c5 | Date: 2026-04-08 | EntryType: DISBURSEMENT | D: 0 | C: 461 | BalAfter: 404.54 | ExtRef: null | ReqId: c2e27160-6779-44d2-8862-f1c6ed474c16 | Status: DISBURSED | Desc: Disbursement for Requisition #c2e27160 / 2609809291
[73] ID: 81566b4e-6abe-403c-bb41-a2ca26115fb2 | Date: 2026-04-09 | EntryType: INFLOW | D: 9090.91 | C: 0 | BalAfter: 9495.45 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260409.0846.Y08675
[74] ID: 07f9b361-207f-475a-a0ec-710118deff78 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 90.91 | BalAfter: 9404.54 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2609901941
[75] ID: b79ae389-a9f4-4e5c-9c62-c89adb408e2a | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 5800 | BalAfter: 3604.54 | ExtRef: null | ReqId: 89c3ca41-e7df-4f0f-b603-5c15bcade6b0 | Status: DISBURSED | Desc: Disbursement for Requisition #89c3ca41 / 2609902271
[76] ID: f3070441-c350-4deb-b3d4-946edb9148a6 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 351 | BalAfter: 3253.54 | ExtRef: null | ReqId: 1fe6be9f-39eb-4f1b-9710-4b36eb599057 | Status: DISBURSED | Desc: Disbursement for Requisition #1fe6be9f / 2609902320
[77] ID: 7e66d80e-b322-43de-9d6c-c8943d817533 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 712 | BalAfter: 2541.54 | ExtRef: null | ReqId: b3670dd7-0c50-4efd-8cfc-c454febcf7c7 | Status: DISBURSED | Desc: Disbursement for Requisition #b3670dd7 / 2609912356
[78] ID: 4ea6d8cc-d51d-442d-a06f-d69fcaf836d9 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 1810 | BalAfter: 731.54 | ExtRef: null | ReqId: 288a8436-f671-4ce1-9f0d-6aa2bb51b5ca | Status: DISBURSED | Desc: Disbursement for Requisition #288a8436 / 2609902380
[79] ID: d05d33b2-c894-4570-a612-5f9412fa9465 | Date: 2026-04-09 | EntryType: INFLOW | D: 2474.75 | C: 0 | BalAfter: 3206.29 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260409.1242.J39640
[80] ID: 1e54db81-4369-4976-aa8e-9544095305e5 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 24.75 | BalAfter: 3181.54 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2609903913
[81] ID: e2a64958-377a-4b0e-9d38-6767ae3ae2a0 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 1117 | BalAfter: 2064.54 | ExtRef: null | ReqId: 4ac378ae-7d8c-4a3a-a236-6776ae8524ec | Status: DISBURSED | Desc: Disbursement for Requisition #4ac378ae / 2609904051
[82] ID: 2c4c0e3e-0e97-462d-9c74-f9c87f1ff4d0 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 108.5 | BalAfter: 1956.04 | ExtRef: null | ReqId: 8f6365bb-7a07-4635-bae2-f93599c2cf4a | Status: DISBURSED | Desc: Disbursement for Requisition #8f6365bb / 2609905477
[83] ID: 3a015b0a-d9e3-4efe-acce-c70b467f1260 | Date: 2026-04-09 | EntryType: DISBURSEMENT | D: 0 | C: 496 | BalAfter: 1460.04 | ExtRef: null | ReqId: 097f41d5-fd0c-40ea-aeb9-53913e76aba9 | Status: DISBURSED | Desc: Disbursement for Requisition #097f41d5 / 2609906337
[84] ID: 8c7e2707-8a16-48a0-ad79-274f30bf8f3b | Date: 2026-04-10 | EntryType: INFLOW | D: 9898.99 | C: 0 | BalAfter: 11359.03 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: LILLIAN MUBIANA MP260410.1618.U09687
[85] ID: d8765f44-d600-4d8b-bd6c-0b7755ff039f | Date: 2026-04-10 | EntryType: DISBURSEMENT | D: 0 | C: 98.99 | BalAfter: 11260.04 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2610005278
[86] ID: 14658778-b5ed-440f-9b0b-4e43a8ddc08f | Date: 2026-04-11 | EntryType: DISBURSEMENT | D: 0 | C: 7620 | BalAfter: 3640.04 | ExtRef: null | ReqId: 58bfb529-6065-4fac-a552-753745c77b32 | Status: DISBURSED | Desc: Disbursement for Requisition #58bfb529 / 2610118709
[87] ID: d8ea3e6a-d594-479a-9a89-6d793e7840b0 | Date: 2026-04-13 | EntryType: INFLOW | D: 9898.99 | C: 0 | BalAfter: 13539.03 | ExtRef: null | ReqId: null | Status: COMPLETED | Desc: Moses Kalunga 9215265388
[88] ID: 64fded0e-c16a-4879-9a9b-d4a4bc8a2f3c | Date: 2026-04-13 | EntryType: DISBURSEMENT | D: 0 | C: 98.99 | BalAfter: 13440.04 | ExtRef: null | ReqId: null | Status: DISBURSED | Desc: To Blue Opus Software Technology / Split-Inflow Payment - 2610301623
