Total entries fetched: 271

========================================
Account: CASH_e359c84e-b42b-4b0a-b422-a2074d87d83a (25 entries)
========================================
[0] ID: 9a5f7ca2-2d91-436a-8956-b45637ad30e9 | Date: 2026-02-26 | CreatedAt: 2026-02-27T08:42:02.109042+00:00 | Type: ADJUSTMENT | Deb: 2510.5 | Cred: 0 | BalAfter: 2510.5 | Desc: Closing Adjustment (Surplus): 
[11] ID: da93cd49-aa3b-4de7-bd1a-145596b6b695 | Date: 2026-03-04 | CreatedAt: 2026-03-04T06:07:33.600462+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1000 | BalAfter: 28135.5 | Desc: Voucher PV-17e301 (Actual for Req #17e3010e)
[12] ID: f40f08d2-ebfe-435d-9971-c1826bdc8671 | Date: 2026-03-04 | CreatedAt: 2026-03-04T06:58:22.827417+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 270 | BalAfter: 27865.5 | Desc: Voucher PV-90f607 (Exp: K0.00, Disc: K270.00)
[13] ID: 1f995f86-31c0-46f2-ae24-8657092b82ff | Date: 2026-03-04 | CreatedAt: 2026-03-04T07:34:39.864128+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 240 | BalAfter: 27625.5 | Desc: Cash disbursed for Requisition #8f642526
[14] ID: 4f2d28db-e0c9-480c-be9c-5251ff2d258d | Date: 2026-03-04 | CreatedAt: 2026-03-04T07:37:46.276214+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 350 | BalAfter: 27275.5 | Desc: Cash disbursed for Requisition #55ae1c50
[15] ID: 15eec910-8f5d-4690-a2a6-25bcce030949 | Date: 2026-03-04 | CreatedAt: 2026-03-04T09:49:00.170002+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 20 | BalAfter: 27255.5 | Desc: Voucher PV-ca2fa7 (Actual for Req #ca2fa72d)
[16] ID: f1faabd0-6a54-46aa-a2ef-e4d3b598e66d | Date: 2026-03-16 | CreatedAt: 2026-03-16T13:50:00.044622+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 600 | BalAfter: 16017 | Desc: Cash disbursed for Requisition #d2cfc684
[17] ID: ab556663-98b4-43bd-a305-7a039c3b0970 | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:02:26.575961+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 250000 | BalAfter: -242383 | Desc: Cash disbursed for Requisition #3c0a6b15
[18] ID: 2a939e56-b0f9-4a3f-b7a7-91c8afefb542 | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:03:00.51677+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 400 | BalAfter: -242783 | Desc: Cash disbursed for Requisition #e7340270
[19] ID: 95a816c2-eb61-4130-9dd9-d879297f7518 | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:04:03.72994+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 200 | BalAfter: -242983 | Desc: Cash disbursed for Requisition #086b4008
[20] ID: da8216fe-b171-4c42-a2fb-7dc6c54fbeeb | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:06:57.273628+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 28230.5 | BalAfter: -271213.5 | Desc: Voucher PV-dcdb1f (Exp: K0.00, Disc: K28230.50)
[21] ID: e525eb6b-9285-4e84-ba81-a16dbdfc23db | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:08:21.913004+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 6058 | BalAfter: -277271.5 | Desc: Cash disbursed for Requisition #ab1a6705
[22] ID: 32ff1c6f-b589-4a59-bbc2-da7dde2c4702 | Date: 2026-03-19 | CreatedAt: 2026-03-19T10:45:39.141859+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1615 | BalAfter: -279014.5 | Desc: Voucher PV-3c0a6b (Exp: K0.00, Disc: K1615.00)
[23] ID: 369d4abe-63aa-4af7-a37e-445b8ba9197a | Date: 2026-03-20 | CreatedAt: 2026-03-20T10:01:57.416123+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 3765 | BalAfter: -285902.5 | Desc: Cash disbursed for Requisition #947e81da
[24] ID: 6b2a0ac5-c46f-465f-8234-4bf1ca7778a5 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:05:53.863951+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1900 | BalAfter: -271081.66 | Desc: Voucher PV-REQ-2026-0050 (Exp: K0.00, Disc: K1900.

========================================
Account: AIRTEL_MONEY_e359c84e-b42b-4b0a-b422-a2074d87d83a (12 entries)
========================================
[0] ID: 2ae788b6-08cc-47f6-b8c3-e8ba50ee0bed | Date: 2026-03-16 | CreatedAt: 2026-03-16T07:42:00.55911+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 300 | BalAfter: 26955.5 | Desc: Voucher PV-c4b8dd (Actual for Req #c4b8dd76)
[1] ID: b58ae7ad-dec5-4d16-a399-bbd9594b898a | Date: 2026-03-16 | CreatedAt: 2026-03-16T10:42:39.117453+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1640 | BalAfter: 25315.5 | Desc: Voucher PV-378011 (Exp: K0.00, Disc: K1640.00)
[2] ID: a91c6b27-2a47-46ba-9f14-c8c23f752d25 | Date: 2026-03-16 | CreatedAt: 2026-03-16T10:45:07.576446+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 570 | BalAfter: 24745.5 | Desc: AIRTEL_MONEY disbursed for Requisition #87b903d3
[3] ID: 015a65e9-23cd-4d4f-96a3-69bcfc8545db | Date: 2026-03-16 | CreatedAt: 2026-03-16T13:41:18.247419+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2000 | BalAfter: 22745.5 | Desc: Voucher PV-01246d (Actual for Req #01246dad)
[4] ID: 7db23285-cb2e-4c5b-a3e8-11e102fbf489 | Date: 2026-03-16 | CreatedAt: 2026-03-16T13:46:03.489324+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2500 | BalAfter: 20245.5 | Desc: Voucher PV-12e723 (Actual for Req #12e723d2)
[5] ID: ea2a19c9-0ea6-4200-8154-8e768292725e | Date: 2026-03-16 | CreatedAt: 2026-03-16T13:47:11.762763+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 500 | BalAfter: 19745.5 | Desc: Voucher PV-d725b3 (Actual for Req #d725b3f5)
[6] ID: 12d5f73d-bfbb-4827-801a-f496f82d60ed | Date: 2026-03-16 | CreatedAt: 2026-03-16T13:48:41.620892+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 3128.5 | BalAfter: 16617 | Desc: Voucher PV-e096a1 (Exp: K0.00, Disc: K3128.50)
[7] ID: 5500d085-72f7-44eb-9718-c69f470194af | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:00:39.85342+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 6500 | BalAfter: 9517 | Desc: Voucher PV-1c8bf9 (Actual for Req #1c8bf9c1)
[8] ID: be6e3d11-174c-4f2a-af23-7fa12675f8c5 | Date: 2026-03-16 | CreatedAt: 2026-03-16T14:01:48.858194+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1900 | BalAfter: 7617 | Desc: Voucher PV-b5b179 (Exp: K0.00, Disc: K1900.00)
[9] ID: e53912ec-7470-4d66-9981-f7b340b70341 | Date: 2026-03-17 | CreatedAt: 2026-03-17T11:43:53.029615+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2255 | BalAfter: -279526.5 | Desc: Voucher PV-a5ee48 (Exp: K0.00, Disc: K2255.00)
[10] ID: 18e083c0-acf5-4708-8492-0209e9d5f2cb | Date: 2026-03-18 | CreatedAt: 2026-03-18T12:37:27.525025+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 3655 | BalAfter: -283181.5 | Desc: AIRTEL_MONEY disbursed for Requisition #29440427
[11] ID: 42c9c00c-911e-43bb-9c14-bf3648c38d06 | Date: 2026-03-18 | CreatedAt: 2026-03-18T12:38:24.063702+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 640 | BalAfter: -283821.5 | Desc: AIRTEL_MONEY disbursed for Requisition #aa2eb41a

========================================
Account: MONEYWISE_WALLET_e359c84e-b42b-4b0a-b422-a2074d87d83a (208 entries)
========================================
[0] ID: 40952ee0-ae62-4925-bd2a-9b4570517b6f | Date: 2026-03-18 | CreatedAt: 2026-03-18T13:31:44.858+00:00 | Type: ADJUSTMENT | Deb: 0 | Cred: 0 | BalAfter: -283821.5 | Desc: OPENING BALANCE (Reconciliation as of 2026-03-18)
[1] ID: b0597cc4-d030-4bb3-ac22-d2f127cc4596 | Date: 2026-03-18 | CreatedAt: 2026-03-18T13:31:45.858+00:00 | Type: INFLOW | Deb: 9900 | Cred: 0 | BalAfter: -273921.5 | Desc: Money deposited for Twalumbu into the wrong accoun
[2] ID: d9b46a51-c641-4c06-a02c-311e8118a437 | Date: 2026-03-18 | CreatedAt: 2026-03-18T13:31:46.298+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 99 | BalAfter: -274020.5 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[3] ID: b4d8953f-1c5e-4777-8a7a-c9f971790a4f | Date: 2026-03-19 | CreatedAt: 2026-03-19T07:27:25.449+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 932 | BalAfter: -274952.5 | Desc: Disbursement for Requisition #73cb9d5c / 260780203
[4] ID: 90f42d3d-4a88-429b-887c-21b9e6cf996c | Date: 2026-03-19 | CreatedAt: 2026-03-19T09:51:13.411+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1615 | BalAfter: -276567.5 | Desc: Disbursement for Requisition #84375f29 / 260780335
[5] ID: 43d7fd40-0c02-4887-a8dc-c0ad50bc5c43 | Date: 2026-03-19 | CreatedAt: 2026-03-19T09:54:44.011+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 832 | BalAfter: -277399.5 | Desc: Disbursement for Requisition #1e3ee504 / 260780341
[6] ID: 37b07744-eb87-4f09-a44e-e6aac2247050 | Date: 2026-03-19 | CreatedAt: 2026-03-19T11:05:28.418+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1535 | BalAfter: -280549.5 | Desc: Disbursement for Requisition #8880575f / 260780434
[7] ID: 54a8498d-5004-4f1c-8e9b-a08557e86993 | Date: 2026-03-19 | CreatedAt: 2026-03-19T11:06:24.511+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 836 | BalAfter: -281385.5 | Desc: Disbursement for Requisition #4aad4b68 / 260780435
[8] ID: 1f41449e-b887-4954-8be6-0bd9035c2c70 | Date: 2026-03-19 | CreatedAt: 2026-03-19T12:48:48.527+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 562 | BalAfter: -281947.5 | Desc: Disbursement for Requisition #b77d3bb7 / 260780571
[9] ID: 21ab8d2c-f0c6-4327-9b96-ff65b92c6b8c | Date: 2026-03-20 | CreatedAt: 2026-03-20T09:15:39.704+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 190 | BalAfter: -282137.5 | Desc: Disbursement for Requisition #774d4025 / 260790520
[10] ID: f576e795-b7d6-47bf-af39-cd0c945504b9 | Date: 2026-03-20 | CreatedAt: 2026-03-20T10:24:22.711+00:00 | Type: INFLOW | Deb: 101 | Cred: 0 | BalAfter: -285801.5 | Desc: Refunding missing funds / 2607906058
[11] ID: 49c4a54f-5d19-4357-b2b0-8f1456090501 | Date: 2026-03-20 | CreatedAt: 2026-03-20T10:24:23.273+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1.01 | BalAfter: -285802.51 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[12] ID: 257a0d9e-9cd8-4d05-8a38-baa981791b2a | Date: 2026-03-20 | CreatedAt: 2026-03-20T10:24:42.382+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1435 | BalAfter: -287237.51 | Desc: Disbursement for Requisition #cdbb23ac / 260790606
[13] ID: f1a7248c-d570-49dc-86e9-143f6dbe2d4b | Date: 2026-03-20 | CreatedAt: 2026-03-20T17:09:10.547+00:00 | Type: INFLOW | Deb: 3000 | Cred: 0 | BalAfter: -284237.51 | Desc: Refund of Actual Lenco funds / 26079011626
[14] ID: 20263623-ef4f-465d-8249-dc6ad2b9fbab | Date: 2026-03-20 | CreatedAt: 2026-03-20T17:09:11.123+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 30 | BalAfter: -284267.51 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[15] ID: 8c56f3cd-6350-477c-a8f4-39754a3dab63 | Date: 2026-03-21 | CreatedAt: 2026-03-21T04:06:25.871+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2015 | BalAfter: -286282.51 | Desc: Disbursement for Requisition #21210b09 / 260800154
[16] ID: 07a6aa2c-2902-48d1-ab69-8ca25f312de6 | Date: 2026-03-21 | CreatedAt: 2026-03-21T04:10:18.296+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2015 | BalAfter: -288297.51 | Desc: Disbursement for Requisition #c32fa343 / 260800156
[17] ID: c3102f86-b95c-43f3-9829-cf697043d790 | Date: 2026-03-23 | CreatedAt: 2026-03-23T14:33:34.188+00:00 | Type: INFLOW | Deb: 10 | Cred: 0 | BalAfter: -288287.51 | Desc: Stephen Kapambwe MP260323.1633.B06236
[18] ID: 45495134-c34c-4b7c-8229-44cb85699ba3 | Date: 2026-03-23 | CreatedAt: 2026-03-23T14:33:34.598+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 0.1 | BalAfter: -288287.61 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[19] ID: 3eac5fbe-9623-4d51-a607-266b99133268 | Date: 2026-03-24 | CreatedAt: 2026-03-24T12:22:05.37+00:00 | Type: INFLOW | Deb: 630 | Cred: 0 | BalAfter: -287657.61 | Desc: LILLIAN MUBIANA MP260324.1421.J37260
[20] ID: 73634fc4-9be4-4e95-b265-464c5361fb2a | Date: 2026-03-24 | CreatedAt: 2026-03-24T12:22:05.864+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 6.3 | BalAfter: -287663.91 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[21] ID: d7001790-1e51-484d-873f-7e65477c553c | Date: 2026-03-25 | CreatedAt: 2026-03-25T05:58:33.653+00:00 | Type: INFLOW | Deb: 4565 | Cred: 0 | BalAfter: -283098.91 | Desc: LILLIAN MUBIANA MP260325.0758.J37890
[22] ID: 750fe434-f695-451a-a62c-46a29052135c | Date: 2026-03-25 | CreatedAt: 2026-03-25T05:58:34.168+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 45.65 | BalAfter: -283144.56 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[23] ID: 248040c2-fd08-4a40-86d3-26a84144130e | Date: 2026-03-25 | CreatedAt: 2026-03-25T06:02:32.705+00:00 | Type: INFLOW | Deb: 5000 | Cred: 0 | BalAfter: -278144.56 | Desc: LILLIAN MUBIANA MP260325.0802.J38340
[24] ID: 9a32638c-9e22-49e0-806c-8e2e071b484f | Date: 2026-03-25 | CreatedAt: 2026-03-25T06:02:33.167+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 50 | BalAfter: -278194.56 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[25] ID: 752f39f9-f45f-40b1-b683-46e9c047c6d3 | Date: 2026-03-25 | CreatedAt: 2026-03-25T06:50:53.443+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 712 | BalAfter: -278906.56 | Desc: Disbursement for Requisition #9a5bb89c / 260840241
[26] ID: 94d69093-975c-4f7e-ac46-9815005000be | Date: 2026-03-25 | CreatedAt: 2026-03-25T06:52:26.728+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 128.5 | BalAfter: -279035.06 | Desc: Disbursement for Requisition #7dd79704 / 260840243
[27] ID: 99f1384a-df85-463e-b093-a71972226cce | Date: 2026-03-25 | CreatedAt: 2026-03-25T09:19:15.444+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 56.5 | BalAfter: -279091.56 | Desc: Disbursement for Requisition #fab8e582 / 260840426
[28] ID: a4fb6e43-bcba-4342-a95e-d581d1e99cff | Date: 2026-03-26 | CreatedAt: 2026-03-26T07:11:28.871+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 8882 | BalAfter: -287973.56 | Desc: Disbursement for Requisition #aff7c61b / 260850360
[29] ID: 57c4f15a-85e3-4966-a5e7-0c8e5980407b | Date: 2026-03-26 | CreatedAt: 2026-03-26T08:43:45.653+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 205 | BalAfter: -288178.56 | Desc: Disbursement for Requisition #38513996 / 260850489
[30] ID: bca9ea1b-13c1-47d2-abca-830f238bed08 | Date: 2026-03-27 | CreatedAt: 2026-03-27T04:08:54.464+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 118.5 | BalAfter: -288297.06 | Desc: Disbursement for Requisition #107405e6 / 260860171
[31] ID: 4f1ae1f3-7ae3-4cdc-8558-8fc45cdafaba | Date: 2026-03-27 | CreatedAt: 2026-03-27T08:28:57.141+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 316 | BalAfter: -288613.06 | Desc: Disbursement for Requisition #547ab7fe / 260861448
[32] ID: 46619749-9f7a-4308-8dff-9b92232124af | Date: 2026-03-27 | CreatedAt: 2026-03-27T11:42:33.388+00:00 | Type: INFLOW | Deb: 930 | Cred: 0 | BalAfter: -287683.06 | Desc: LILLIAN MUBIANA MP260327.1342.D67963
[33] ID: 46ce570e-cfb8-4019-a85e-1734011dbf34 | Date: 2026-03-27 | CreatedAt: 2026-03-27T11:42:33.769+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 9.3 | BalAfter: -287692.36 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[34] ID: c5014c2a-ddae-447e-b421-502aedf35d47 | Date: 2026-03-27 | CreatedAt: 2026-03-27T11:45:28.101+00:00 | Type: INFLOW | Deb: 630 | Cred: 0 | BalAfter: -287062.36 | Desc: LILLIAN MUBIANA MP260327.1344.D68314
[35] ID: 4a607ce7-c1be-4e8b-b867-ff3b08808a01 | Date: 2026-03-27 | CreatedAt: 2026-03-27T11:45:28.479+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 6.3 | BalAfter: -287068.66 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[36] ID: af307f9c-81fd-448f-a116-2674c97d5385 | Date: 2026-03-27 | CreatedAt: 2026-03-27T11:51:55.372+00:00 | Type: INFLOW | Deb: 9900 | Cred: 0 | BalAfter: -277168.66 | Desc: LILLIAN MUBIANA MP260327.1351.L68991
[37] ID: 9f35d382-bd4e-423b-be4b-d2d194cfbae9 | Date: 2026-03-27 | CreatedAt: 2026-03-27T11:51:55.715+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 99 | BalAfter: -277267.66 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[38] ID: b916b9ef-723d-45f5-93d1-10dc7c873115 | Date: 2026-03-27 | CreatedAt: 2026-03-27T12:37:30.799+00:00 | Type: INFLOW | Deb: 9900 | Cred: 0 | BalAfter: -267367.66 | Desc: Moses Chibale MP260327.1437.A76172
[39] ID: 32b00380-93df-430a-8bf1-5b9399119e49 | Date: 2026-03-27 | CreatedAt: 2026-03-27T12:37:31.591+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 99 | BalAfter: -267466.66 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[40] ID: acb52766-31b5-429c-8fbd-41427571596c | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:04:34.463+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1715 | BalAfter: -269181.66 | Desc: Disbursement for Requisition #3de403ef / 260860845
[41] ID: afa93bb4-318d-410b-af4a-2a29d12d2949 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:06:35.683+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2015 | BalAfter: -273096.66 | Desc: Disbursement for Requisition #8777774d / 260860848
[42] ID: 905b1cc7-c559-4910-aa16-6a8967ded4c6 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:07:22.602+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 3518 | BalAfter: -276614.66 | Desc: Disbursement for Requisition #af202de3 / 260860851
[43] ID: eee07f7c-3827-4ff2-b1c6-ca597610ec15 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:08:07.871+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2515 | BalAfter: -279129.66 | Desc: Disbursement for Requisition #f5290c60 / 260860852
[44] ID: 8d515c7c-dacf-48c9-8fa9-4ddb91423ef7 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:08:51.375+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 3218 | BalAfter: -282347.66 | Desc: Disbursement for Requisition #7cdcce2a / 260860853
[45] ID: 14ab5094-6cef-4533-8bda-3bf6c8d956df | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:09:34.12+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 3518 | BalAfter: -285865.66 | Desc: Disbursement for Requisition #d3a68129 / 260860854
[46] ID: 1a010a58-a695-4cac-993f-23dd90f52e27 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:10:47.956+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 511 | BalAfter: -286376.66 | Desc: Disbursement for Requisition #8eab92f4 / 260860856
[47] ID: d231595b-45a1-43e1-a2c8-6ad134f8a090 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:11:30.565+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2715 | BalAfter: -289091.66 | Desc: Disbursement for Requisition #abe95d76 / 260860856
[48] ID: 73edbb15-d03a-4cf1-a258-62070df20db5 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:12:32.575+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 1215 | BalAfter: -290306.66 | Desc: Disbursement for Requisition #dbe8ca3b / 260860858
[49] ID: 642fc125-5b3a-4e5e-bfba-e2b2f2d7a169 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:13:26.289+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 58.5 | BalAfter: -290365.16 | Desc: Disbursement for Requisition #61405890 / 260860859
[50] ID: 1577b942-d3ea-4044-8d35-8ce90b696265 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:19:39.652+00:00 | Type: INFLOW | Deb: 1900 | Cred: 0 | BalAfter: -288465.16 | Desc: Moses Chibale MP260327.1519.D83008
[51] ID: 95caed83-1404-46e1-9579-d35822d39577 | Date: 2026-03-27 | CreatedAt: 2026-03-27T13:19:39.889+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 19 | BalAfter: -288484.16 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[52] ID: d3ad24ec-4099-4890-b05d-2933b1eacf84 | Date: 2026-03-30 | CreatedAt: 2026-03-30T08:17:33.151+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 361 | BalAfter: -288827.16 | Desc: Disbursement for Requisition #53bc7e0d / 260890375
[53] ID: fca330c2-5a4e-4a12-a354-abc452b74b20 | Date: 2026-03-31 | CreatedAt: 2026-03-31T07:41:33.214+00:00 | Type: INFLOW | Deb: 3030.3 | Cred: 0 | BalAfter: -285786.36 | Desc: LILLIAN MUBIANA MP260331.0941.A17259
[54] ID: d5363590-6e07-446a-8277-a464b24f547e | Date: 2026-03-31 | CreatedAt: 2026-03-31T07:41:33.577+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 30.3 | BalAfter: -285816.66 | Desc: To Blue Opus Software Technology / Split-Inflow Pa
[55] ID: b22a2934-88fa-4505-880e-05d22ab67223 | Date: 2026-04-01 | CreatedAt: 2026-04-01T06:08:52.979+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2665 | BalAfter: -288481.66 | Desc: Disbursement for Requisition #a2554811 / 260910277
[56] ID: 5eb51259-dd34-4ef2-aef8-788b0728980b | Date: 2026-04-01 | CreatedAt: 2026-04-01T09:22:47.825+00:00 | Type: DISBURSEMENT | Deb: 0 | Cred: 2215 | BalAfter: -290696.66 | Desc: Disbursement for Requisition #38c38b81 / 260910504
